# point number in a profile
187
#r  U_mean  k  eps
5.1859975307276152E-02 8.4064525799080925E-01 1.9026189772082838E-02 1.2940989172361779E-02
5.3054883093333061E-02 8.4844947893323086E-01 1.8943895880884836E-02 1.2825746120949397E-02
5.4274328711678366E-02 8.5611543617913144E-01 1.8851324027932239E-02 1.2702197109363884E-02
5.5518876154734942E-02 8.6364377332767783E-01 1.8748994342020243E-02 1.2571729016500119E-02
5.6789101024495525E-02 8.7103537408891341E-01 1.8637439426171631E-02 1.2436962010440169E-02
5.8085590798738040E-02 8.7829138784685012E-01 1.8517193225401456E-02 1.2295982984924819E-02
5.9408945102733202E-02 8.8541308881054748E-01 1.8388766251685337E-02 1.2150726496996601E-02
6.0759775986571063E-02 8.9240162543686385E-01 1.8252690287209765E-02 1.2012479046947102E-02
6.2138708208233195E-02 8.9925869237553369E-01 1.8109580443844295E-02 1.1858571544089855E-02
6.3546379522542940E-02 9.0598589716059308E-01 1.7959817858786538E-02 1.1692309828410762E-02
6.4983440976126128E-02 9.1258500928356145E-01 1.7803844885385875E-02 1.1519725153660827E-02
6.6450557208519945E-02 9.1905797099451003E-01 1.7642161901718498E-02 1.1344718407559280E-02
6.7948406759567537E-02 9.2540689280436672E-01 1.7475318895124936E-02 1.1168963318775128E-02
6.9477682383242423E-02 9.3163402874604739E-01 1.7303872766975387E-02 1.0993286921081697E-02
7.1039091368046425E-02 9.3774177664793801E-01 1.7128400283206661E-02 1.0816843758044408E-02
7.2633355864129889E-02 9.4373264321003481E-01 1.6949449734865160E-02 1.0639196733600569E-02
7.4261213217285515E-02 9.4960925365362325E-01 1.6767556161328214E-02 1.0458648795877445E-02
7.5923416309969793E-02 9.5537431533001382E-01 1.6583211029829556E-02 1.0275648340322081E-02
7.7620733909510964E-02 9.6103062311267318E-01 1.6396855572068506E-02 1.0089101407929818E-02
7.9353951023662661E-02 9.6658104659997091E-01 1.6208895040464192E-02 9.8992171845108494E-03
8.1123869263669435E-02 9.7202853085469687E-01 1.6019680901364006E-02 9.7072934520707459E-03
8.2931307215011074E-02 9.7737608642764406E-01 1.5829522505736816E-02 9.5141728647358190E-03
8.4777100815997930E-02 9.8262678442744567E-01 1.5638708707621400E-02 9.3210281250521443E-03
8.6662103744391095E-02 9.8778373940162445E-01 1.5447516260630510E-02 9.1289174441017470E-03
8.8587187812227963E-02 9.9285011344664564E-01 1.5256226882494103E-02 8.9383432321775095E-03
9.0553243369034198E-02 9.9782912553631253E-01 1.5065137813005617E-02 8.7488425298678195E-03
9.2561179713609665E-02 1.0027240597332927E+00 1.4874556929260600E-02 8.5590563520135058E-03
9.4611925514578199E-02 1.0075382664880079E+00 1.4684787684484916E-02 8.3666791715045433E-03
9.6706429239895808E-02 1.0122751637821314E+00 1.4496064123756451E-02 8.1709096101856074E-03
9.8845659595516555E-02 1.0169383094024920E+00 1.4308528127852712E-02 7.9756535295546788E-03
1.0103060597341773E-01 1.0215314403595943E+00 1.4122259198137534E-02 7.7924104872303113E-03
1.0326227890919304E-01 1.0260582836704595E+00 1.3937546726101214E-02 7.6039679598241400E-03
1.0554171054942396E-01 1.0305223023728300E+00 1.3754282018585943E-02 7.4093866362326139E-03
1.0786995512904685E-01 1.0349270404948705E+00 1.3572393652692269E-02 7.2160109086338142E-03
1.1024808945893549E-01 1.0392760747304410E+00 1.3391953723416441E-02 7.0290578508251560E-03
1.1267721342392506E-01 1.0435730426203205E+00 1.3213176661787323E-02 6.8480290485724423E-03
1.1515845049150775E-01 1.0478216021445050E+00 1.3036229182679049E-02 6.6722475051682432E-03
